step,nav_mode,pose_x_m,pose_y_m,pose_theta_deg,frontier_goal_x,frontier_goal_y,frontier_goal_dist,frontier_goal_cell,frontier_candidate_count,frontier_candidates,path_length,path_first_x,path_first_y,icp_pose_x,icp_pose_y,icp_pose_theta_deg,icp_rmse,icp_num_points
1,UNKNOWN,0.2957106781186548,0.29571067811865476,2.7263109939062624,0.675,0.225,0.38582429899270304,1:0,2,1:0;0:0,11,0.24,0.24,0.22500000000000006,0.225,45.0,5.695990941738782e-17,360
2,UNKNOWN,0.3955974918910987,0.3004671930601997,350.80843663021744,0.675,0.225,0.2894150285764893,1:0,4,3:0;2:0;1:0;0:0,11,0.24,0.24,0.2957106781186549,0.29571067811865476,2.726310993906263,1.0788022158852707e-16,360
3,UNKNOWN,0.4943134715303769,0.28449360974719085,348.3934570433302,0.675,0.225,0.19022910179873892,1:0,4,3:0;2:0;1:0;0:0,11,0.24,0.24,0.39559749189109905,0.3004671930602012,350.80843663021744,1.5665158032437444e-15,360
4,UNKNOWN,0.5922686996194191,0.2643746313928177,355.33858932099974,1.5750000000000002,0.225,0.9835197864532407,3:0,4,3:0;0:0;2:0;1:0,19,0.69,0.24,0.494313471530377,0.28449360974719085,348.3934570433302,1.1605686838450036e-16,360
5,UNKNOWN,0.691937934342532,0.25624790697832955,356.88387596342994,1.5750000000000002,0.225,0.8836147596626942,3:0,4,3:0;0:0;2:0;1:0,19,0.69,0.24,0.5922686996194192,0.2643746313928177,355.33858932099974,1.116373891773981e-16,360
6,UNKNOWN,0.7917900755485963,0.2508119253223395,357.3273123894259,1.5750000000000002,0.225,0.7836351454905656,3:0,4,3:0;0:0;2:0;1:0,19,0.69,0.24,0.6919379343425323,0.2562479069783295,356.88387596342994,2.2950389037608827e-16,360
7,UNKNOWN,0.8916812972182844,0.24614889697831616,358.2215362609859,1.5750000000000002,0.225,0.6836459064564684,3:0,4,3:0;0:0;2:0;1:0,19,0.69,0.24,0.791790075548596,0.25081192532234153,357.3273123894259,2.024437305739569e-15,360
8,UNKNOWN,0.9916331268574892,0.24304539061044603,358.81919583715165,1.5750000000000002,0.225,0.5836459070381237,3:0,4,3:0;0:0;2:0;1:0,19,0.69,0.24,0.8916812972182845,0.24614889697831616,358.2215362609859,1.1489602350379622e-16,360
9,UNKNOWN,1.0916118912289856,0.2409846444473417,359.6108424680553,1.5750000000000002,0.225,0.48365232611797304,3:0,4,0:0;1:0;3:0;2:0,11,1.14,0.24,0.991633126857489,0.24304539061044603,358.81919583715165,2.2255158710777204e-16,360
10,UNKNOWN,1.1916095846201533,0.24030544164543688,359.8380661695415,1.5750000000000002,0.225,0.3836958002755482,3:0,4,0:0;1:0;3:0;2:0,11,1.14,0.24,1.091611891228986,0.24098464444734177,359.6108424680553,4.521725885172417e-16,360
11,UNKNOWN,1.2916091852279081,0.24002281417051471,359.94976752541226,1.5750000000000002,0.225,0.2837887221909849,3:0,4,0:0;3:1;1:0;2:0,11,1.14,0.24,1.1916095846201535,0.24030544164543682,359.8380661695415,2.292333496058667e-16,360
12,UNKNOWN,1.3916091467958311,0.23993514197444812,359.99561931662663,1.5750000000000002,0.225,0.18399799864332764,3:0,4,0:0;3:1;1:0;2:0,11,1.14,0.24,1.2916091852279084,0.24002281417051483,359.94976752541226,2.274083793404366e-16,360
13,UNKNOWN,1.4916091465035446,0.23992749623962015,56.528920873085006,1.5750000000000002,0.675,0.4429922324095458,3:1,4,0:0;1:0;2:0;3:1,11,1.5899999999999999,0.24,1.391609146795831,0.239935141974448,359.99561931662663,2.372145113710353e-16,360
14,UNKNOWN,1.5467607464127244,0.323343927639302,71.84618623071718,1.5750000000000002,0.675,0.3527881073269321,3:1,4,0:0;1:0;2:0;3:1,11,1.5899999999999999,0.24,1.4916091465035453,0.23992749623962015,56.528920873085006,6.669280777620106e-16,360
15,UNKNOWN,1.5779176507068815,0.418366279298295,83.27425030035924,1.5750000000000002,0.675,0.2566503054485775,3:1,4,0:0;1:0;2:1;3:1,11,1.5899999999999999,0.24,1.5467607464127304,0.32334392763930314,71.84618623071718,6.10632896574354e-15,360
