step,x_m,y_m,theta_deg,mode
1,0.2957106781186547,0.2957106781186547,2.7263109939062877,GOALSEEKING
2,0.3955974918910985,0.3004671930601997,350.80843663021744,GOALSEEKING
3,0.49431347153037636,0.28449360974718935,348.3934570433305,GOALSEEKING
4,0.5922686996194184,0.26437463139281664,355.3385893209999,GOALSEEKING
5,0.6919379343425314,0.25624790697832883,356.88387596343006,GOALSEEKING
6,0.7917900755485958,0.25081192532233904,357.327312389426,GOALSEEKING
7,0.8916812972182845,0.24614889697831396,358.22153626098634,GOALSEEKING
8,0.9916331268574892,0.24304539061044478,52.07852567578407,GOALSEEKING
9,1.0530912172391902,0.3219307702864996,75.62627202288675,GOALSEEKING
10,1.0779157905794738,0.418800479476075,85.1317926573773,GOALSEEKING
11,1.086402195720737,0.5184397334264049,89.67644092619263,GOALSEEKING
12,1.0869669098354833,0.6184381389035352,91.14820686198215,GOALSEEKING
13,1.0849630449439707,0.718418059515109,80.88142608329542,GOALSEEKING
14,1.1008108604237852,0.817154307896936,67.86793017135308,GOALSEEKING
15,1.1384851408820735,0.9097860982928374,57.4592929168881,GOALSEEKING
16,1.1922750088048368,0.9940870479248056,51.78118606470572,GOALSEEKING
17,1.254141649805176,1.0726524266315565,47.52235098298702,GOALSEEKING
18,1.3216719043675622,1.1464065093574585,49.604408899926014,GOALSEEKING
19,1.38647803425842,1.2225653271566426,55.78921124065449,GOALSEEKING
20,1.4427019449224,1.3052627991231358,58.42121572877496,GOALSEEKING
21,1.4950689938150388,1.3904548890744688,63.40189344232813,GOALSEEKING
22,1.5398419476805916,1.4798717924102096,64.5578350806686,GOALSEEKING
23,1.5828019273500822,1.5701737311867217,65.51303863016145,GOALSEEKING
24,1.5915444729205468,1.5893690712951494,70.04619941872753,GOALSEEKING
